식품명,식품군명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎),콜레스테롤(㎎)
가자미구이,구이류,200,g,-,-,245,37.4,10,1.3,0,630.39,168.65
간장양념닭다리구이,구이류,300,g,-,-,740,68.9,46.9,10.6,13.1,1628.76,317.02
갈치구이,구이류,200,g,-,-,275,43.1,11,1.2,0,594.47,175.91
고등어구이,구이류,200,g,-,-,551,47.7,40,0.4,0.4,1210,112.67
고등어석쇠구이,구이류,200,g,-,-,679,46.7,51.4,7.6,0,252.52,106.18
굴비구이,구이류,150,g,-,-,291,28,19.9,0.1,0.4,1377.2,198.1
꽁치구이,구이류,200,g,-,-,604,49.4,43.4,4.3,0,516.7,90.51
꿩불고기,구이류,500,g,-,-,368.8,33.5,8.5,39.7,16.9,1264.31,106.18
닭갈비,구이류,400,g,-,-,595.61,45.9,25.8,44.9,21.2,1535.83,193.4
닭갈비,구이류,300,g,-,-,558.47,45.5,31.6,23.1,8.5,1016.94,217.67
닭고기대파꼬치구이,구이류,170,g,-,-,416,30.3,25,17.6,2.8,708.18,130.26
닭구이,구이류,340,g,-,-,872,89.1,45.5,26.5,0,2553.09,405.21
닭꼬치,구이류,70,g,-,-,176.723,11.562,8.565,13.348,3.152,286.911,31.444
닭발구이,구이류,220,g,-,-,431,39.9,20.7,21.3,0.7,1820.1,180.07
더덕구이,구이류,100,g,-,-,184,3.1,5.2,31.1,11.6,743.37,0.12
도미구이,구이류,250,g,-,-,397,61.1,16.5,2.1,0,1582.17,211.24
돼지갈비,구이류,100,g,-,-,240.32,19.5,14.4,8.1,4.5,404.66,49.34
돼지갈비구이,구이류,300,g,-,-,881,84.7,55.6,10.4,14.4,2211.65,215.21
게국지,국류,1100,g,-,-,415.25,44.9,12.1,31.7,10.8,4047.26,388.15
곰치국,국류,1000,g,-,-,419.29,54.3,11.8,23.9,2.8,3802.06,476.47
굴국밥,국류,650,g,-,-,683,42.4,17.8,88.4,0.3,1635.39,518.37
김치국,국류,450,g,-,-,89,5.4,2.8,10.5,2.9,1642.08,0
떡만둣국,국류,700,g,-,-,624.915,20.055,11.319,110.707,0.158,1980.19,122.423
만둣국,국류,700,g,-,-,434.05,21.429,17.445,47.832,3.048,2367.993,94.521
맑은감자국,국류,700,g,-,-,221,8.3,5.5,34.6,5.2,1712.29,5.46
매생이국,국류,500,g,-,-,119,10,2.8,13.4,0.4,1420.3,6.62
무된장국,국류,450,g,-,-,104,6.1,2.4,14.7,5.9,1741.46,0
미소된장국,국류,150,g,-,-,38,2.8,1.8,2.8,0.7,517.03,0
바지락조개국,국류,550,g,-,-,157,22,3.1,10.1,1.3,1596.17,89.36
뼈다귀해장국,국류,1000,g,-,-,714,74.6,35.7,23.4,5.7,3088.21,321.72
선지해장국,국류,1000,g,-,-,312,49.3,5.4,16.7,3.9,3074.53,230.52
소고기무국,국류,400,g,-,-,123,14.2,4,7.8,3.5,1067.02,38.43
소고기미역국,국류,650,g,-,-,151,18.1,5.3,7.7,0,1908.91,42.18
순대국,국류,800,g,-,-,540.298,43.523,33.018,17.261,0,1504.043,246.001
시래기된장국,국류,450,g,-,-,99,6.7,3.1,11,1.3,1523.66,0
올갱이국,국류,600,g,-,-,144.26,13.7,4.2,13,1.6,2017.16,85.36
우거지해장국,국류,600,g,-,-,154.38,11.9,5.9,13.5,2.5,2049.59,22.37
우렁된장국,국류,500,g,-,-,245,24.6,7.7,19.2,3.6,2134.21,105.38
탕국,국류,250,g,-,-,92.152,13.181,4.272,0.244,0.078,656.75,30.121
홍합미역국,국류,650,g,-,-,167,19.7,4.7,11.6,0,2043.68,58.4
황태해장국,국류,600,g,-,-,181.7,24.5,6.8,5.7,1.5,1533.09,150.3
고추잡채,기타,200,g,-,-,256.769,10.994,12.013,26.171,2.092,828.545,39.263
난자완스,기타,200,g,-,-,346.249,21.627,20.35,19.149,0.495,703.234,76.763
도토리묵말이,기타,1300,g,-,-,462.39,6.8,8.5,89.7,6.3,3206.03,0
라조기,기타,200,g,-,-,398.993,20.659,23.491,26.234,0.15,648.516,90.577
물회,기타,700,g,-,-,529.36,34.4,18.9,55.3,20,2095.9,120.26
생선물회,기타,800,g,-,-,577.97,34.3,12.3,82.5,52,2779.74,101.88
소고기샤브샤브,기타,600,g,-,-,263.75,29.1,9.8,14.7,2.4,1122.4,76.02
오징어순대,기타,350,g,-,-,466.86,45.7,5.6,58.3,0.4,1258.71,517.44
초당순두부,기타,900,g,-,-,522.69,49.1,29.2,15.8,0.9,1203.36,0
해파리냉채,기타,150,g,-,-,91,6.2,1.4,13.4,11.4,508.77,40.33
고들빼기,김치류,50,g,-,-,55.525,1.58,0.608,10.934,2.844,742.429,2.977
열무얼갈이김치,김치류,50,g,-,-,17.684,1.074,0.328,2.608,0.456,339.903,1.034
미나리나물,나물류,50,g,-,-,29.534,1.016,1.833,2.242,0,150.33,0
취나물,나물류,50,g,-,-,74.1,1.375,6.153,3.306,0,281.857,0
콩나물,나물류,50,g,-,-,25.344,1.68,1.65,0.944,0.02,213.95,0
경단(깨),떡류,100,g,-,-,319.466,4.442,0.536,74.219,26.64,180.002,0
경단(콩),떡류,100,g,-,-,314.324,3.513,0.461,74.031,20.55,225.828,0
기피편,떡류,100,g,-,-,219.967,5.449,0.247,48.988,2.084,281.057,0
녹두시루떡,떡류,100,g,-,-,246.07,7.738,2.534,48.077,4.048,263.663,0
메밀전병,떡류,100,g,-,-,167.827,6.185,6.289,21.62,0.619,345.805,8.049
무지개떡,떡류,100,g,-,-,228.974,3.53,0.312,53.011,8.985,276.823,0
송편(깨),떡류,100,g,-,-,224.146,4.925,2.735,44.957,1.146,231.821,0
송편(콩),떡류,100,g,-,-,194.334,5.237,0.749,41.661,1.261,233.504,0
수수부꾸미,떡류,100,g,-,-,247.892,5.729,6.287,42.099,0.235,261.002,0
수수팥떡,떡류,100,g,-,-,204.241,6.696,0.591,43.034,2.818,241.926,0
시루떡,떡류,100,g,-,-,217.481,5.466,0.607,47.539,3.222,277.907,0
쑥떡,떡류,100,g,-,-,248.635,3.359,0.404,57.889,10.725,254.32,0
절편,떡류,100,g,-,-,192.886,3.642,0.285,43.938,0.07,265.867,0.032
찹쌀떡,떡류,100,g,-,-,276.866,3.265,0.153,65.609,17.542,225.61,0
간자장,면류,650,g,-,-,824.539,22.334,22.034,134.224,12.159,2716.201,28.726
굴짬뽕,면류,900,g,-,-,680.672,32.869,9.605,115.688,1.697,2662.346,163.307
기스면,면류,1000,g,-,-,606.931,37.819,10.724,89.785,0.504,2764.588,416.545
김치라면,면류,650,g,-,-,552,13.8,16.9,86.2,1.2,2531.6,45.65
김치우동,면류,800,g,-,-,500.177,15.548,4.601,99.144,2.128,2874.602,14.128
냉김치말이국수,면류,600,g,-,-,302.53,12.9,4.8,52,8.3,2121.62,88.95
닭칼국수,면류,900,g,-,-,663,42.2,12.8,94.7,5.3,2125.17,95.67
둘깨칼국수,면류,600,g,-,-,457.88,17.6,16.5,59.8,1.4,1192.57,3.36
막국수,면류,1000,g,-,-,571.59,20,5.8,109.8,9.4,3260.05,43.17
삼선우동,면류,1000,g,-,-,691.656,47.939,8.478,105.9,0.801,2722.319,620.896
삼선자장면,면류,700,g,-,-,803.898,33.638,18.135,126.533,10.152,2628.242,166.565
삼선짬뽕,면류,900,g,-,-,662.366,39.626,10.77,101.733,1.093,2689.129,312.479
쌀국수,면류,600,g,-,-,320.32,15.6,4.2,55.1,4.3,1651.58,33.6
열무김치국수,면류,800,g,-,-,431,15,10.2,69.6,18.6,3007.45,15.37
열무냉면,면류,800,g,-,-,525.492,20.842,5.783,97.52,27.146,3152.366,67.776
오일소스스파게티,면류,400,g,-,-,646.736,19.555,23.426,89.42,1.411,1124.332,31.621
올갱이국수,면류,1500,g,-,-,566,11.2,8.3,111.6,18.6,3862.84,0
우동(일식),면류,700,g,-,-,421.514,13.39,7.906,74.199,2.483,2390.321,25.978
우동(중식),면류,1000,g,-,-,648.471,29.452,21.022,85.366,1.099,3395.857,208.42
울면,면류,1000,g,-,-,728.857,37.455,7.369,128.178,0.502,2799.918,445.791
자장면,면류,650,g,-,-,796.503,19.771,20.321,133.631,7.795,2391.581,10.756
짬뽕라면,면류,750,g,-,-,689,21.3,26.3,92,1.6,2493.81,106.69
치즈라면,면류,600,g,-,-,595,16.8,23,80,0.9,2113.4,103.67
크림소스스파게티,면류,400,g,-,-,837.57,21.794,50.594,73.763,9.173,1030.21,126.578
토마토소스스파게티,면류,500,g,-,-,642.583,24.349,19.152,93.204,15.598,1508.634,49.168
해물칼국수,면류,900,g,-,-,628.262,22.803,4.605,123.901,3.808,2355.072,26.699
해물크림소스스파게티,면류,500,g,-,-,917.569,30.394,49.789,86.973,8.356,1323.697,210.887
해물토마토소스스파게티,면류,500,g,-,-,584.438,27.974,13.73,87.243,13.483,1533.156,159.637
골뱅이무침,무침류,100,g,-,-,108.792,7.081,1.966,15.693,10.465,525.516,38.353
노각무침,무침류,150,g,-,-,84,2.6,1.8,14.3,7.1,817.37,0
단무지무침,무침류,50,g,-,-,20,0.5,0.8,2.8,0.7,428.92,0
달래나물무침,무침류,150,g,-,-,136,4,2.8,23.8,11.2,867.04,0
더덕무침,무침류,150,g,-,-,216,4.3,2.8,43.4,20.2,1246.58,0.17
도토리묵,무침류,100,g,-,-,45.598,0.292,0.324,10.377,0.433,124.147,0
